player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0013499,Andre Reed,WR,,0,74,180,1964-01-29,,,14,,,,nflverse
,Art Still,EDGE,,0,79,250,1955-12-05,,,14,,,,nflverse
00-0015111,Bruce Smith,EDGE,,78,76,275,1963-06-18,,,14,,,,nflverse
00-0013992,Butch Rolle,TE,,0,75,242,1964-08-19,,,14,,,,nflverse
,Carl Byrum,RB,,0,72,232,1963-06-29,,,14,,,,nflverse
00-0000584,Carlton Bailey,LB,,0,75,240,1964-12-15,,,14,,,,nflverse
00-0002258,Chris Burkett,WR,,0,76,202,1962-08-21,,,14,,,,nflverse
00-0001100,Cornelius Bennett,LB,,0,75,235,1965-08-25,,,14,,,,nflverse
00-0007226,Dale Hellestrae,LG,RG,0,77,261,1962-07-11,,,14,,,,nflverse
00-0016029,Darryl Talley,LB,,0,76,231,1960-07-10,,,14,,,,nflverse
,Dean Prater,EDGE,,0,76,255,1958-09-29,,,14,,,,nflverse
,Derrick Burroughs,CB,,0,73,185,1962-05-18,,,14,,,,nflverse
,Don Graham,LB,,0,74,244,1964-01-31,,,14,,,,nflverse
00-0004521,Dwight Drane,S,,0,74,200,1962-05-06,,,14,,,,nflverse
,Erroll Tucker,CB,,0,68,169,1964-07-06,,,14,,,,nflverse
,Flip Johnson,WR,,0,70,185,1963-07-13,,,14,,,,nflverse
00-0013558,Frank Reich,QB,,0,76,208,1961-12-04,,,14,,,,nflverse
00-0015072,Fred Smerlas,DT,,0,75,270,1957-04-08,,,14,,,,nflverse
00-0005781,Hal Garner,LB,,0,76,219,1962-01-18,,,14,,,,nflverse
00-0000682,Howard Ballard,LT,RT,0,78,300,1963-11-03,,,14,,,,nflverse
00-0011790,Jamie Mueller,RB,,0,73,225,1964-10-04,,,14,,,,nflverse
00-0018303,Jeff Wright,DT,,0,74,270,1963-06-13,,,14,,,,nflverse
00-0009111,Jim Kelly,QB,,0,75,215,1960-02-14,,,14,,,,nflverse
00-0013771,Jim Ritcher,LG,RG,0,75,251,1958-05-21,,,14,,,,nflverse
,Joe Devlin,LT,RT,0,77,258,1954-02-23,,,14,,,,nflverse
,John Hagy,CB,,0,71,190,1965-12-09,,,14,,,,nflverse
00-0009204,John Kidd,P,,0,75,201,1961-08-22,,,14,,,,nflverse
00-0010936,Keith McKeller,TE,,0,78,230,1964-07-09,,,14,,,,nflverse
00-0007901,Kent Hull,C,,0,77,247,1961-01-13,,,14,,,,nflverse
00-0008152,Kirby Jackson,CB,,0,70,177,1965-02-02,,,14,,,,nflverse
00-0014608,Leon Seals,EDGE,,0,77,265,1964-01-30,,,14,,,,nflverse
00-0002359,Leonard Burton,LT,RT,0,75,252,1964-06-18,,,14,,,,nflverse
00-0015249,Leonard Smith,S,,0,71,190,1960-09-02,,,14,,,,nflverse
00-0009127,Mark Kelso,S,,0,71,186,1963-07-23,,,14,,,,nflverse
00-0012987,Mark Pike,LB,,0,76,257,1963-12-27,,,14,,,,nflverse
00-0012311,Nate Odomes,CB,,0,70,188,1965-08-25,,,14,,,,nflverse
00-0011156,Pete Metzelaars,TE,,0,79,240,1960-05-24,,,14,,,,nflverse
00-0001137,Ray Bentley,LB,,0,74,230,1960-11-25,,,14,,,,nflverse
,Robb Riddick,RB,,0,72,195,1957-04-26,,,14,,,,nflverse
00-0006874,Ronnie Harmon,RB,,0,71,192,1964-05-07,,,14,,,,nflverse
00-0012203,Scott Norwood,K,,0,72,207,1960-07-17,,,14,,,,nflverse
00-0013358,Scott Radecic,LB,,0,75,240,1962-06-14,,,14,,,,nflverse
00-0003368,Shane Conlan,LB,,0,75,230,1964-03-04,,,14,,,,nflverse
,Sherman Cocroft,CB,,0,73,188,1961-08-29,,,14,,,,nflverse
00-0005869,Stan Gelbaugh,QB,,0,75,207,1962-12-04,,,14,,,,nflverse
00-0016055,Steve Tasker,WR,,0,69,185,1962-04-10,,,14,,,,nflverse
00-0016331,Thurman Thomas,RB,,34,70,198,1966-05-16,,,14,,,,nflverse
,Tim Vogler,LG,RG,0,75,259,1956-10-02,,,14,,,,nflverse
,Tom Erlandson Jr.,LB,,0,73,220,1966-06-19,,,14,,,,nflverse
,Trumaine Johnson,WR,,0,73,196,1960-11-16,,,14,,,,nflverse
,Walter Broughton,WR,,0,70,180,1962-10-20,,,14,,,,nflverse
,Wayne Davis,CB,,0,71,175,1963-06-17,,,14,,,,nflverse
00-0018162,Will Wolford,LT,RT,0,77,276,1964-05-18,,,14,,,,nflverse
